land,city,balcony,living_space,total_rent,service_charge,base_rent,lift,pets_allowed,floor,no_rooms,garden,cellar,noParkSpaces
Brandenburg,Cottbus,True,56.88,329.9,45.5,284.4,False,negotiable,4.0,3.0,False,True,0.0
Brandenburg,Barnim_Kreis,True,61.2,500.0,70.0,430.0,False,no,3.0,3.0,False,True,0.0
Brandenburg,Cottbus,True,60.0,430.0,130.0,300.0,False,negotiable,1.0,2.0,False,True,0.0
Brandenburg,Havelland_Kreis,True,48.46,379.0,110.0,269.0,False,no,2.0,2.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,True,62.0,386.0,62.0,324.0,False,negotiable,2.0,2.0,False,True,0.0
Brandenburg,Cottbus,True,73.98,517.86,110.97,406.89,False,negotiable,3.0,4.0,False,True,0.0
Brandenburg,Cottbus,True,69.7,515.0,120.0,395.0,False,negotiable,5.0,3.0,False,True,0.0
Brandenburg,Spree_Neiße_Kreis,True,84.6,624.5799999999999,202.43,422.15,False,negotiable,2.0,3.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,False,28.0,309.0,65.0,244.0,False,negotiable,1.0,1.0,False,False,0.0
Brandenburg,Elbe_Elster_Kreis,False,49.07,296.62,49.07,247.55,False,no,2.0,2.0,False,False,0.0
Brandenburg,Oder_Spree_Kreis,True,104.0,990.0,240.0,750.0,False,negotiable,3.0,4.0,False,True,0.0
Brandenburg,Potsdam_Mittelmark_Kreis,False,56.0,326.55,65.3,261.25,False,negotiable,1.0,3.0,True,True,0.0
Brandenburg,Potsdam_Mittelmark_Kreis,True,80.15,620.98,100.0,520.98,False,no,4.0,4.0,False,True,0.0
Brandenburg,Elbe_Elster_Kreis,False,41.4,250.0,50.0,200.0,False,no,3.0,2.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,True,70.38,809.0,160.0,649.0,False,no,2.0,2.0,False,False,1.0
Brandenburg,Brandenburg_an_der_Havel,True,34.51,345.0,90.0,255.0,False,no,1.0,1.0,False,True,0.0
Brandenburg,Cottbus,True,56.86,491.16,150.0,341.16,False,no,1.0,3.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,False,42.13,400.0,115.0,285.0,False,yes,3.0,2.0,False,True,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,75.33,520.0,158.42,361.58,False,no,3.0,4.0,False,True,0.0
Brandenburg,Spree_Neiße_Kreis,False,67.3,483.23,140.0,343.23,False,yes,2.0,2.0,True,False,0.0
Brandenburg,Barnim_Kreis,False,69.0,520.0,70.0,450.0,False,no,3.0,3.0,False,True,0.0
Brandenburg,Potsdam_Mittelmark_Kreis,True,97.0,1065.0,95.0,970.0,False,negotiable,2.0,3.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,True,96.0,1084.0,220.0,864.0,False,no,2.0,3.0,False,True,0.0
Brandenburg,Prignitz_Kreis,False,59.0,345.0,50.0,295.0,False,no,1.0,2.0,False,True,1.0
Brandenburg,Frankfurt_Oder,False,53.57,438.74,170.89,267.85,True,no,3.0,2.0,False,False,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,True,61.68,475.0,155.0,320.0,False,negotiable,3.0,3.0,False,True,0.0
Brandenburg,Elbe_Elster_Kreis,True,57.44,387.0,75.0,312.0,False,negotiable,1.0,3.0,False,True,0.0
Brandenburg,Spree_Neiße_Kreis,True,81.41,668.0,180.0,488.0,False,negotiable,0.0,3.0,True,True,0.0
Brandenburg,Frankfurt_Oder,True,55.08,481.0,150.0,331.0,False,negotiable,2.0,2.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,False,61.1,379.0,73.25,305.75,False,negotiable,3.0,3.0,False,True,0.0
Brandenburg,Elbe_Elster_Kreis,False,64.75,402.0,78.0,324.0,False,no,1.0,3.0,False,True,0.0
Brandenburg,Spree_Neiße_Kreis,True,80.0,512.0,160.0,352.0,True,negotiable,2.0,3.0,False,False,0.0
Brandenburg,Cottbus,False,74.0,640.0,180.0,460.0,False,no,3.0,3.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,True,56.6,503.0,135.0,368.0,True,no,4.0,2.0,False,True,0.0
Brandenburg,Havelland_Kreis,False,75.04,575.0,100.0,475.0,False,no,2.0,3.0,True,True,1.0
Brandenburg,Märkisch_Oderland_Kreis,True,80.5,1100.0,150.0,950.0,False,negotiable,1.0,3.0,True,True,1.0
Brandenburg,Oberhavel_Kreis,True,79.0,1044.18,78.18,966.0,False,no,3.0,4.0,False,True,1.0
Brandenburg,Oder_Spree_Kreis,False,50.4,435.46,57.46,378.0,False,no,2.0,2.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,True,42.9,308.82,60.0,248.82,True,no,4.0,2.0,False,False,0.0
Brandenburg,Prignitz_Kreis,True,88.0,450.0,100.0,350.0,False,no,2.0,3.0,False,False,0.0
Brandenburg,Brandenburg_an_der_Havel,False,21.52,328.0,122.0,206.0,True,no,0.0,1.0,True,True,0.0
Brandenburg,Oberhavel_Kreis,True,97.0,1007.0,137.0,870.0,True,no,4.0,3.0,True,True,1.0
Brandenburg,Barnim_Kreis,True,43.36,350.0,40.0,310.0,False,negotiable,1.0,1.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,False,86.62,620.0,187.0,433.0,False,no,1.0,3.0,False,False,0.0
Brandenburg,Havelland_Kreis,False,80.0,680.0,80.0,600.0,False,negotiable,2.0,3.0,False,False,0.0
Brandenburg,Barnim_Kreis,False,48.41,410.87,72.0,338.87,False,no,1.0,2.0,False,True,0.0
Brandenburg,Barnim_Kreis,True,76.84,615.0,90.0,525.0,False,no,3.0,3.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,64.63,460.0,130.0,330.0,False,no,4.0,3.0,False,True,0.0
Brandenburg,Teltow_Fläming_Kreis,True,104.03,705.0,135.0,570.0,False,negotiable,2.0,4.0,False,True,0.0
Brandenburg,Oder_Spree_Kreis,True,104.0,1050.0,240.0,810.0,False,negotiable,2.0,4.0,False,True,1.0
Brandenburg,Frankfurt_Oder,False,66.35,644.9200000000001,200.38,444.54,False,no,2.0,3.0,False,False,0.0
Brandenburg,Märkisch_Oderland_Kreis,True,64.95,859.0,160.0,699.0,False,negotiable,3.0,2.0,False,False,0.0
Brandenburg,Havelland_Kreis,True,59.35,474.81,148.38,326.43,False,negotiable,1.0,3.0,False,True,1.0
Brandenburg,Cottbus,True,59.48,483.29,144.25,339.04,False,no,3.0,3.0,False,False,0.0
Brandenburg,Cottbus,True,49.64,470.0,170.0,300.0,False,negotiable,1.0,2.0,False,True,0.0
Brandenburg,Frankfurt_Oder,False,58.59,424.19,154.68,269.51,False,no,3.0,3.0,False,False,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,False,82.31,720.0,60.0,660.0,False,negotiable,2.0,3.0,True,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,40.0,210.0,50.0,160.0,False,no,2.0,1.0,False,False,0.0
Brandenburg,Elbe_Elster_Kreis,True,77.0,485.0,107.0,378.0,False,yes,4.0,4.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,59.0,365.9,65.0,300.9,False,negotiable,3.0,3.0,False,True,0.0
Brandenburg,Brandenburg_an_der_Havel,False,48.0,390.0,100.0,290.0,False,negotiable,2.0,2.0,False,False,0.0
Brandenburg,Barnim_Kreis,True,60.84,518.0,70.0,448.0,False,no,3.0,3.0,False,True,0.0
Brandenburg,Cottbus,True,79.7,999.1199999999999,215.81,783.31,True,no,1.0,2.0,False,False,0.0
Brandenburg,Uckermark_Kreis,False,78.0,700.0,90.0,610.0,False,negotiable,2.0,2.0,True,True,0.0
Brandenburg,Brandenburg_an_der_Havel,False,34.3,340.0,100.0,240.0,False,no,1.0,1.0,False,False,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,True,60.92,545.0,130.0,415.0,False,negotiable,2.0,2.0,False,True,1.0
Brandenburg,Uckermark_Kreis,True,60.71,405.91,72.0,333.91,False,no,5.0,2.0,False,False,0.0
Brandenburg,Teltow_Fläming_Kreis,True,68.31,955.0,135.0,820.0,True,no,1.0,2.0,False,True,0.0
Brandenburg,Cottbus,False,60.06,444.44,144.14,300.3,False,negotiable,1.0,3.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,False,32.0,365.0,95.0,270.0,False,negotiable,2.0,1.0,False,False,0.0
Brandenburg,Potsdam_Mittelmark_Kreis,True,62.0,530.0,80.0,450.0,False,no,1.0,2.0,True,False,1.0
Brandenburg,Dahme_Spreewald_Kreis,True,46.42,519.94,55.71,464.23,True,negotiable,1.0,2.0,False,True,1.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,88.0,620.0,170.0,450.0,False,no,2.0,3.0,False,True,1.0
Brandenburg,Frankfurt_Oder,True,68.92,667.15,205.39,461.76,False,no,2.0,3.0,False,False,0.0
Brandenburg,Märkisch_Oderland_Kreis,True,89.0,934.5,178.0,756.5,False,no,1.0,3.0,False,True,1.0
Brandenburg,Frankfurt_Oder,True,51.0,365.0,60.0,305.0,False,negotiable,2.0,2.0,False,True,0.0
Brandenburg,Dahme_Spreewald_Kreis,True,57.93,752.23,165.0,587.23,False,yes,2.0,2.0,False,True,1.0
Brandenburg,Cottbus,True,60.0,515.0,95.0,420.0,False,negotiable,2.0,2.0,False,True,0.0
Brandenburg,Oder_Spree_Kreis,True,75.0,645.0,135.0,510.0,False,negotiable,1.0,3.0,False,True,1.0
Brandenburg,Oberhavel_Kreis,True,64.0,700.0,60.0,640.0,False,negotiable,1.0,2.0,True,False,0.0
Brandenburg,Cottbus,True,77.31,605.15,207.0,398.15,False,negotiable,1.0,3.0,False,False,1.0
Brandenburg,Potsdam,False,62.0,773.0,185.0,588.0,True,no,4.0,2.0,False,False,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,45.0,280.0,45.0,235.0,False,negotiable,2.0,2.0,True,True,0.0
Brandenburg,Cottbus,False,67.0,480.0,80.0,400.0,False,negotiable,3.0,3.0,False,True,0.0
Brandenburg,Barnim_Kreis,True,61.38,545.0,70.0,475.0,False,no,0.0,3.0,False,True,0.0
Brandenburg,Oberhavel_Kreis,True,67.0,879.0,145.0,734.0,False,no,3.0,2.0,True,True,1.0
Brandenburg,Cottbus,True,62.48,797.69,169.59,628.1,True,no,3.0,2.0,False,False,0.0
Brandenburg,Frankfurt_Oder,True,84.0,756.0,126.0,630.0,False,negotiable,0.0,3.0,True,True,0.0
Brandenburg,Oder_Spree_Kreis,True,57.4,497.0,177.0,320.0,False,negotiable,2.0,3.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,46.18,360.0,130.0,230.0,False,no,5.0,2.0,False,True,0.0
Brandenburg,Cottbus,False,64.25,482.0,77.0,405.0,False,negotiable,4.0,2.0,False,True,1.0
Brandenburg,Potsdam,False,54.32,645.0,75.0,570.0,False,negotiable,1.0,2.0,False,False,0.0
Brandenburg,Uckermark_Kreis,True,60.71,405.91,72.0,333.91,False,no,5.0,2.0,False,False,0.0
Brandenburg,Elbe_Elster_Kreis,True,88.62,576.03,88.62,487.41,False,no,1.0,2.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,60.0,375.0,85.0,290.0,False,no,2.0,3.0,False,False,0.0
Brandenburg,Uckermark_Kreis,False,59.6,448.0,150.0,298.0,False,no,2.0,3.0,False,True,0.0
Brandenburg,Barnim_Kreis,True,50.29,390.0,65.0,325.0,False,no,4.0,2.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,True,62.0,485.0,195.0,290.0,False,no,3.0,3.0,False,True,0.0
Brandenburg,Teltow_Fläming_Kreis,True,80.0,840.0,195.0,645.0,False,negotiable,1.0,3.0,False,True,2.0
Brandenburg,Spree_Neiße_Kreis,True,80.0,635.0,150.0,485.0,True,no,3.0,3.0,True,True,0.0
Brandenburg,Teltow_Fläming_Kreis,False,40.6,320.0,40.0,280.0,False,no,2.0,2.0,False,True,1.0
Brandenburg,Elbe_Elster_Kreis,False,56.01,291.0,56.0,235.0,False,negotiable,3.0,3.0,False,True,1.0
Brandenburg,Cottbus,True,78.41,564.55,172.5,392.05,False,negotiable,4.0,3.0,False,True,0.0
Brandenburg,Cottbus,True,59.48,505.96000000000004,166.92,339.04,False,no,3.0,3.0,False,False,0.0
Brandenburg,Cottbus,True,48.69,348.14,80.34,267.8,False,negotiable,5.0,2.0,False,True,0.0
Brandenburg,Ostprignitz_Ruppin_Kreis,True,33.3,310.0,93.0,217.0,False,no,1.0,1.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,64.63,460.0,155.0,305.0,False,no,4.0,3.0,False,True,0.0
Brandenburg,Uckermark_Kreis,False,73.98,530.1,175.0,355.1,False,no,1.0,3.0,False,True,0.0
Brandenburg,Spree_Neiße_Kreis,True,57.7,477.0,160.0,317.0,False,yes,2.0,3.0,True,True,1.0
Brandenburg,Uckermark_Kreis,True,62.44,420.0,140.0,280.0,False,no,1.0,3.0,False,True,0.0
Brandenburg,Cottbus,True,97.0,1055.0,215.0,840.0,False,no,1.0,3.0,True,True,1.0
Brandenburg,Dahme_Spreewald_Kreis,True,69.0,828.0,138.0,690.0,False,negotiable,0.0,2.0,False,True,1.0
Brandenburg,Frankfurt_Oder,True,42.3,506.84,50.0,456.84,True,no,3.0,1.0,False,True,0.0
Brandenburg,Märkisch_Oderland_Kreis,False,67.63,620.0,80.0,540.0,True,negotiable,1.0,2.0,False,True,0.0
Brandenburg,Uckermark_Kreis,True,69.75,394.39,84.0,310.39,False,negotiable,5.0,3.0,False,False,0.0
Brandenburg,Teltow_Fläming_Kreis,True,61.98,540.0,75.0,465.0,False,negotiable,5.0,2.0,False,False,0.0
Brandenburg,Uckermark_Kreis,False,47.21,286.05,50.0,236.05,False,negotiable,5.0,2.0,False,False,0.0
Brandenburg,Cottbus,True,71.97,525.0,150.0,375.0,False,negotiable,2.0,4.0,False,True,0.0
Brandenburg,Potsdam_Mittelmark_Kreis,True,75.0,1050.0,150.0,900.0,False,no,4.0,3.0,False,False,1.0
Brandenburg,Spree_Neiße_Kreis,True,60.34,433.0,120.0,313.0,False,negotiable,3.0,2.0,False,True,0.0
Brandenburg,Cottbus,True,62.28,471.78,172.84,298.94,False,no,4.0,3.0,False,False,0.0
Brandenburg,Uckermark_Kreis,False,39.65,329.0,84.0,245.0,False,no,1.0,2.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,55.0,506.0,166.0,340.0,False,negotiable,1.0,2.0,False,False,1.0
Brandenburg,Ostprignitz_Ruppin_Kreis,True,69.54,555.87,83.0,472.87,False,negotiable,1.0,2.0,False,True,0.0
Brandenburg,Cottbus,True,64.91,549.0,179.0,370.0,False,negotiable,1.0,2.0,False,True,1.0
Brandenburg,Frankfurt_Oder,True,71.0,611.5,150.0,461.5,False,negotiable,4.0,2.0,False,True,0.0
Brandenburg,Uckermark_Kreis,False,58.55,436.2,73.19,363.01,False,no,3.0,3.0,False,True,0.0
Brandenburg,Oberhavel_Kreis,True,82.0,1050.0,230.0,820.0,False,negotiable,1.0,3.0,False,True,1.0
Brandenburg,Oberhavel_Kreis,True,50.0,445.0,55.0,390.0,False,no,1.0,2.0,False,True,1.0
Brandenburg,Havelland_Kreis,False,75.29,680.0,160.0,520.0,False,no,1.0,3.0,False,False,0.0
Brandenburg,Frankfurt_Oder,False,67.0,695.6,240.0,455.6,False,no,3.0,3.0,False,False,0.0
Brandenburg,Barnim_Kreis,False,66.29,401.34,50.0,351.34,False,negotiable,1.0,3.0,False,True,1.0
Brandenburg,Brandenburg_an_der_Havel,True,59.74,396.6,77.0,319.6,False,no,4.0,3.0,False,False,0.0
Brandenburg,Oder_Spree_Kreis,True,80.0,831.0,189.0,642.0,False,negotiable,1.0,3.0,False,True,1.0
Brandenburg,Uckermark_Kreis,True,64.63,450.0,130.0,320.0,False,no,4.0,3.0,False,True,0.0
Brandenburg,Oberspreewald_Lausitz_Kreis,False,68.81,538.0,160.0,378.0,False,no,0.0,2.0,False,True,1.0
